mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nb__alpha,param_tfidf__max_features,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.19907355308532715,0.00983444311362037,0.06032671928405762,0.006666308999414591,0.1,2500,"(1, 1)","{'nb__alpha': 0.1, 'tfidf__max_features': 2500, 'tfidf__ngram_range': (1, 1)}",0.9487179487179487,0.9282700421940928,0.9244444444444444,0.9478260869565217,0.940677966101695,0.9379872976829405,0.009970178239326779,6
0.4179797649383545,0.010361698954616362,0.06318392753601074,0.0017909291477181013,0.1,2500,"(1, 2)","{'nb__alpha': 0.1, 'tfidf__max_features': 2500, 'tfidf__ngram_range': (1, 2)}",0.9482758620689655,0.927038626609442,0.9196428571428571,0.9565217391304348,0.9224137931034483,0.9347785756110296,0.014810986004408468,11
0.612158203125,0.018216994442065135,0.07343997955322265,0.005128190811075502,0.1,2500,"(1, 3)","{'nb__alpha': 0.1, 'tfidf__max_features': 2500, 'tfidf__ngram_range': (1, 3)}",0.9482758620689655,0.9264069264069265,0.9196428571428571,0.9565217391304348,0.9137931034482759,0.9329280976394919,0.01659750031650244,13
0.18042221069335937,0.006110966418040025,0.04651498794555664,0.0017917141974640829,0.1,5000,"(1, 1)","{'nb__alpha': 0.1, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1)}",0.9401709401709402,0.9288702928870293,0.9251101321585903,0.9437229437229437,0.9361702127659575,0.9348089043410923,0.006919508289174646,10
0.38233466148376466,0.011172333714428561,0.06670303344726562,0.002033752206193189,0.1,5000,"(1, 2)","{'nb__alpha': 0.1, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2)}",0.9527896995708155,0.9310344827586207,0.9385964912280702,0.9565217391304348,0.9224137931034483,0.940271241158278,0.012867023194685058,4
0.5610299587249756,0.01538105168037881,0.08377728462219239,0.01722345386377675,0.1,5000,"(1, 3)","{'nb__alpha': 0.1, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 3)}",0.9568965517241379,0.9310344827586207,0.9244444444444444,0.9519650655021834,0.9170305676855895,0.9362742224229953,0.01555120438271697,9
0.18575382232666016,0.017705001622325547,0.06617212295532227,0.01853406268665879,0.1,7500,"(1, 1)","{'nb__alpha': 0.1, 'tfidf__max_features': 7500, 'tfidf__ngram_range': (1, 1)}",0.9487179487179487,0.9451476793248945,0.925764192139738,0.9519650655021834,0.944206008583691,0.9431601788536913,0.009122270621463325,1
0.439593505859375,0.04014667776437365,0.06141881942749024,0.00481146532196786,0.1,7500,"(1, 2)","{'nb__alpha': 0.1, 'tfidf__max_features': 7500, 'tfidf__ngram_range': (1, 2)}",0.9523809523809523,0.9310344827586207,0.933920704845815,0.9565217391304348,0.9264069264069265,0.94005296110455,0.012069397665537869,5
0.628504753112793,0.025385201540310983,0.08608651161193848,0.014199475032524111,0.1,7500,"(1, 3)","{'nb__alpha': 0.1, 'tfidf__max_features': 7500, 'tfidf__ngram_range': (1, 3)}",0.9437229437229437,0.9264069264069265,0.9333333333333333,0.9565217391304348,0.9251101321585903,0.9370190149504456,0.011775577039073894,8
0.1922614574432373,0.012813515589753462,0.05291619300842285,0.002548175231605607,0.1,10000,"(1, 1)","{'nb__alpha': 0.1, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1)}",0.9487179487179487,0.9451476793248945,0.925764192139738,0.9519650655021834,0.944206008583691,0.9431601788536913,0.009122270621463325,1
